Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,returns,ma_5,ma_20,target
2025-05-16 00:00:00-04:00,5929.08984375,5958.6201171875,5907.35986328125,5958.3798828125,4850850000,0.0,0.0,0.007005272294898557,5899.7259765625,5624.614990234375,5963.60009765625
2025-05-19 00:00:00-04:00,5902.8798828125,5968.60986328125,5895.68994140625,5963.60009765625,4144010000,0.0,0.0,0.0008761131291423752,5923.6080078125,5664.884985351562,5940.4599609375
2025-05-20 00:00:00-04:00,5944.66015625,5953.06005859375,5909.259765625,5940.4599609375,4416850000,0.0,0.0,-0.0038802294486252054,5934.3900390625,5697.519995117187,5844.60986328125
2025-05-21 00:00:00-04:00,5910.18017578125,5938.3701171875,5830.91015625,5844.60986328125,5254250000,0.0,0.0,-0.01613513066101424,5924.79599609375,5720.957495117187,5842.009765625
2025-05-22 00:00:00-04:00,5841.259765625,5878.080078125,5825.81982421875,5842.009765625,5157050000,0.0,0.0,-0.00044487103794299543,5909.8119140625,5738.819482421875,5802.81982421875
2025-05-23 00:00:00-04:00,5781.89013671875,5829.509765625,5767.41015625,5802.81982421875,4662820000,0.0,0.0,-0.006708297825321674,5878.69990234375,5752.699975585938,5921.5400390625
2025-05-27 00:00:00-04:00,5854.06982421875,5924.330078125,5854.06982421875,5921.5400390625,5366380000,0.0,0.0,0.0204590558452733,5870.287890625,5772.3394775390625,5888.5498046875
2025-05-28 00:00:00-04:00,5925.5400390625,5939.919921875,5881.8798828125,5888.5498046875,4665050000,0.0,0.0,-0.005571225417268844,5859.905859375,5788.7254638671875,5912.169921875
2025-05-29 00:00:00-04:00,5939.9599609375,5943.1298828125,5873.7998046875,5912.169921875,4569750000,0.0,0.0,0.004011194261904327,5873.41787109375,5805.88095703125,5911.68994140625
2025-05-30 00:00:00-04:00,5903.669921875,5922.14013671875,5843.66015625,5911.68994140625,6378540000,0.0,0.0,-8.118516130162234e-05,5887.35390625,5821.258447265625,5935.93994140625
2025-06-02 00:00:00-04:00,5896.68017578125,5937.39990234375,5861.43017578125,5935.93994140625,4832240000,0.0,0.0,0.0041020419271569075,5913.9779296875,5833.721948242188,5970.3701171875
2025-06-03 00:00:00-04:00,5938.56005859375,5981.35009765625,5929.0,5970.3701171875,5026680000,0.0,0.0,0.005800290454605506,5923.7439453125,5849.721459960938,5970.81005859375
2025-06-04 00:00:00-04:00,5978.93994140625,5990.47998046875,5966.10986328125,5970.81005859375,4767050000,0.0,0.0,7.36874595066439e-05,5940.19599609375,5867.916455078125,5939.2998046875
2025-06-05 00:00:00-04:00,5985.669921875,5999.7001953125,5921.2001953125,5939.2998046875,5091850000,0.0,0.0,-0.005277383403094138,5945.62197265625,5883.317456054688,6000.35986328125
2025-06-06 00:00:00-04:00,5987.06005859375,6016.8701171875,5978.6298828125,6000.35986328125,4355710000,0.0,0.0,0.010280683010067904,5963.35595703125,5900.138452148438,6005.8798828125
2025-06-09 00:00:00-04:00,6004.6298828125,6021.31005859375,5994.18017578125,6005.8798828125,4642360000,0.0,0.0,0.0009199480792858594,5977.3439453125,5917.436938476562,6038.81005859375
2025-06-10 00:00:00-04:00,6009.91015625,6043.009765625,6000.27978515625,6038.81005859375,4882880000,0.0,0.0,0.00548298940767844,5991.03193359375,5927.167944335937,6022.240234375
2025-06-11 00:00:00-04:00,6049.3798828125,6059.39990234375,6002.31982421875,6022.240234375,5111550000,0.0,0.0,-0.002743888954607865,6001.31796875,5933.952465820313,6045.259765625
2025-06-12 00:00:00-04:00,6009.89990234375,6045.43017578125,6003.8798828125,6045.259765625,4669500000,0.0,0.0,0.0038224199557175265,6022.5099609375,5941.586450195313,5976.97021484375
